,ID,Toán,Lí,Hóa,Sinh,Văn,Ngoại ngữ,GDCD,Địa,Sử
267,02000267,7.6,,,,7.25,8.4,6.75,6.25,3.25
268,02000268,8.6,6.5,8.0,5.25,6.75,8.6,,,
269,02000269,7.4,4.5,8.5,7.25,4.25,5.8,,,
270,02000270,8.2,,,,8.0,6.2,7.25,7.75,5.5
271,02000271,8.2,6.5,7.25,6.75,8.25,6.0,,,
272,02000272,8.0,6.5,5.75,4.5,8.0,8.2,,,
273,02000273,8.0,5.25,5.0,4.75,7.5,7.6,,,
274,02000274,7.6,,,,8.25,9.6,8.75,8.25,6.75
275,02000275,8.2,7.5,6.25,5.0,6.5,8.6,,,
276,02000276,6.4,7.75,4.5,6.0,7.25,5.6,,,
277,02000277,8.8,5.75,3.75,4.25,7.5,8.0,,,
278,02000278,8.0,7.5,7.0,6.25,7.0,6.4,,,
279,02000279,9.6,8.75,8.75,6.25,6.75,7.8,,,
280,02000280,7.4,6.5,6.0,5.5,7.25,4.8,,,
281,02000281,8.2,,,,7.5,5.4,8.75,7.5,5.5
282,02000282,8.4,,,,7.5,7.8,8.25,6.75,5.0
283,02000283,8.6,8.75,6.75,6.75,7.75,8.8,,,
284,02000284,7.8,6.5,6.25,7.5,7.0,6.8,,,
285,02000285,8.0,6.0,8.5,6.25,8.0,7.6,,,
286,02000286,6.0,,,,4.25,4.8,8.5,6.25,3.75
287,02000287,6.4,,,,7.75,7.2,8.25,6.5,5.75
288,02000288,8.6,8.25,7.5,5.75,8.25,8.6,,,
289,02000289,7.6,5.5,6.0,4.25,6.5,4.8,,,
290,02000290,8.2,7.5,4.5,6.0,8.5,8.8,,,
291,02000291,7.2,5.0,7.75,5.0,7.25,5.4,,,
292,02000292,8.6,5.75,6.0,5.5,5.75,9.4,,,
293,02000293,8.2,6.75,6.5,4.75,6.5,4.8,,,
294,02000294,7.6,,,,5.5,4.2,8.25,7.0,4.25
295,02000295,7.4,7.25,7.75,5.75,7.5,7.2,,,
296,02000296,8.0,6.5,3.75,5.5,8.25,8.2,,,
297,02000297,6.4,,,,5.5,5.6,7.0,6.5,4.25
298,02000298,8.0,6.0,5.5,6.25,7.25,5.6,,,
299,02000299,6.0,,,,6.75,6.2,9.0,8.25,7.25
300,02000300,6.6,4.0,5.0,5.5,6.5,5.6,,,
301,02000301,8.2,7.25,6.25,5.25,5.5,8.6,,,
302,02000302,7.4,7.5,8.0,7.25,6.5,5.8,,,
303,02000303,7.6,5.0,6.0,4.5,7.5,9.2,,,
304,02000304,7.8,6.5,7.5,4.5,5.5,5.0,,,
305,02000305,8.4,7.0,8.25,5.25,8.5,8.6,,,
306,02000306,8.6,7.5,7.0,5.5,6.0,5.4,,,
307,02000307,6.8,5.75,6.25,5.5,6.0,6.8,,,
308,02000308,9.0,7.5,3.75,4.0,6.75,8.4,,,
309,02000309,7.2,5.75,7.75,6.0,7.5,8.8,,,
310,02000310,7.4,5.0,6.75,7.0,5.0,5.0,,,
311,02000311,8.8,7.75,5.75,3.25,5.75,6.6,,,
312,02000312,8.8,8.5,4.75,5.75,6.5,8.4,,,
313,02000313,8.4,8.5,5.5,3.75,6.75,8.0,,,
314,02000314,7.0,4.75,6.75,6.0,6.5,6.0,,,
315,02000315,8.2,4.25,7.5,4.5,4.75,6.6,,,
316,02000316,7.0,7.0,5.25,6.5,5.25,8.2,,,
317,02000317,6.2,,,,5.75,4.4,7.75,8.0,5.0
